ID_compound,SMILES,Common_name,Biological Activity,Pathogen,Category,IC50 (µM),Experiment Type,IC50(µg/ml),CC50,Ki,EC50_invitro,EC50_viral,% Inhibition,Tested at [C],Molecular Weight,Origin,Formula,Family,Sub_family,Nature,Reference,ID_ref,PUBCHEM_CID
3493,COC1=CC2=NC3=C(C=C2C=C1)C(=C(S3)C(=O)NCC4=CC=CO4)N,,Inactive,Leishmania,Extracellular,,,,,,,,2.2,83.3 µM,353.403,,C18H15N3O3S,,,,AID_1063,648100,648100
3494,CCOC(=O)CC(C1=CC(=CC=C1)[N+](=O)[O-])NC(=O)C2=CC3=CC=CC=C3OC2=O,,Inactive,Leishmania,Extracellular,,,,,,,,-1.01,83.3 µM,410.382,,C21H18N2O7,,,,AID_1063,5038358,5038358
3495,CCN1CCN(CC1)C(=O)CN(CC2=CC=CC=C2)S(=O)(=O)C,,Inactive,Leishmania,Extracellular,,,,,,,,-4.71,83.3 µM,339.461,,C16H25N3O3S,,,,AID_1063,978259,978259
3496,CC(=O)NC1=CC(=CC=C1)NC(=O)CSC2=NN3C(=NN=C3CCNC(=O)C4=CC=CC=C4)C=C2,,Inactive,Leishmania,Extracellular,,,,,,,,-11.39,83.3 µM,489.561,,C24H23N7O3S,,,,AID_1063,16194696,16194696
3497,CC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)C(=O)NCCN3C(=O)/C(=C/C4=CC=CC=C4Cl)/SC3=O,,Inactive,Leishmania,Extracellular,,,,,,,,2.44,83.3 µM,550.058,,C24H24ClN3O6S2,,,,AID_1063,6519710,6519710
3498,C1CCC(C1)CCC(=O)OCC(=O)NC2=CC=CC=C2SC3=CC=CC=C3,,Inactive,Leishmania,Extracellular,,,,,,,,-8.62,83.3 µM,383.513,,C22H25NO3S,,,,AID_1063,3382235,3382235
3499,CC1=CC=C(C=C1)CN2C=NC3=C(C2=O)N=NN3C4=CC(=CC=C4)OC,,Inactive,Leishmania,Extracellular,,,,,,,,-1.81,83.3 µM,347.378,,C19H17N5O2,,,,AID_1063,3242652,3242652
3500,CCNC(=O)NC(=O)COC1=CC=CC=C1C#N,,Inactive,Leishmania,Extracellular,,,,,,,,-4.26,83.3 µM,247.254,,C12H13N3O3,,,,AID_1063,2565436,2565436
3501,CC1=CC=C(C=C1)S(=O)(=O)NCCC2=CC=CC=C2,,Inactive,Leishmania,Extracellular,,,,,,,,-7.51,83.3 µM,275.373,,C15H17NO2S,,,,AID_1063,225587,225587
3502,C1C2CC3CC1CC(C2)(C3)C(=O)OCC4=NC5=CC=CC=C5N4,,Inactive,Leishmania,Extracellular,,,,,,,,14.41,83.3 µM,310.397,,C19H22N2O2,,,,AID_1063,3142835,3142835
3503,CC1=C(C(=CC=C1)OCC2=NN=C(N2CC3=CC=CO3)SCC(=O)NC4=NOC(=C4)C)C,,Inactive,Leishmania,Extracellular,,,,,,,,4.43,83.3 µM,453.524,,C22H23N5O4S,,,,AID_1063,650460,650460
3504,CCOC(=O)C1=CC=CC=C1NC(=O)CSC2=NC=CN2C,,Inactive,Leishmania,Extracellular,,,,,,,,-0.53,83.3 µM,319.386,,C15H17N3O3S,,,,AID_1063,2999730,2999730
3505,C1=CC=C(C=C1)C(=O)CN2C(=O)C3=CC=CC=C3C2=O,,Inactive,Leishmania,Extracellular,,,,,,,,-1.09,83.3 µM,265.268,,C16H11NO3,,,,AID_1063,243038,243038
3506,CN1C(=NN=C1SCC(=O)NC2=C(C=C(C=C2Br)F)F)CNC(=O)C3=CC=CO3,,Inactive,Leishmania,Extracellular,,,,,,,,-1.04,83.3 µM,486.298,,C17H14BrF2N5O3S,,,,AID_1063,986431,986431
3507,CC(C)N(C1=CC=CC=C1)C(=O)COC(=O)CNC(=O)C2=CC=C(C=C2)Br,,Inactive,Leishmania,Extracellular,,,,,,,,-8.5,83.3 µM,433.302,,C20H21BrN2O4,,,,AID_1063,2443235,2443235
3508,CC1=CC2=C(C=C1Cl)C(=C(O2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)N)C,,Inactive,Leishmania,Extracellular,,,,,,,,-9.48,83.3 µM,378.837,,C17H15ClN2O4S,,,,AID_1063,986580,986580
3509,C1CCC(C1)N(CC2=NC3=CC=CC=C3C(=O)N2)C(=O)C4=CC=C(C=C4)Br,,Inactive,Leishmania,Extracellular,,,,,,,,13.78,83.3 µM,426.314,,C21H20BrN3O2,,,,AID_1063,135417641,135417641
3510,CN1C2=C(C=C(S2)C(=O)NC3CC3)C(=N1)C4=CC=C(C=C4)Cl,,Inactive,Leishmania,Extracellular,,,,,,,,10.28,83.3 µM,331.828,,C16H14ClN3OS,,,,AID_1063,5307685,5307685
3511,C1=CC=C(C=C1)C(=O)NCCOC(=O)C2=CC=C(O2)C(=O)OCCNC(=O)C3=CC=CC=C3,,Inactive,Leishmania,Extracellular,,,,,,,,-2.9,83.3 µM,450.447,,C24H22N2O7,,,,AID_1063,2927045,2927045
3512,C1=CC(=CC=C1C2=CC=C(N2CCC(=O)O)CCC(=O)O)F,,Inactive,Leishmania,Extracellular,,,,,,,,6.11,83.3 µM,305.305,,C16H16FNO4,,,,AID_1063,894144,894144
3513,CC1=CC=CC=C1NS(=O)(=O)C2=C(C=CC(=C2)S(=O)(=O)C)Cl,,Inactive,Leishmania,Extracellular,,,,,,,,-3.77,83.3 µM,359.856,,C14H14ClNO4S2,,,,AID_1063,990927,990927
3514,CC1CC(CN(C1)C(=O)CN2C3=CC=CC=C3N=C2SCC(=O)NC4=NOC(=C4)C)C,,Inactive,Leishmania,Extracellular,,,,,,,,-2.72,83.3 µM,441.557,,C22H27N5O3S,,,,AID_1063,655856,655856
3515,CC1=C(C(=NN1C2=CC=C(C=C2)C(=O)O)C)Cl,,Inactive,Leishmania,Extracellular,,,,,,,,-7.56,83.3 µM,250.685,,C12H11ClN2O2,,,,AID_1063,2456570,2456570
3516,CN(C1=CC=C(C=C1)OCC(=O)N2CCOCC2)S(=O)(=O)C3=CC=C(C=C3)F,,Inactive,Leishmania,Extracellular,,,,,,,,-4.78,83.3 µM,408.451,,C19H21FN2O5S,,,,AID_1063,2336074,2336074
3517,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=C(C=C4)C(=O)OCC,,Inactive,Leishmania,Extracellular,,,,,,,,0.02,83.3 µM,465.51,,C24H27N5O5,,,,AID_1063,16193186,16193186
3518,CN(C)S(=O)(=O)C1=CC=CC(=C1)C(=O)OCC(=O)NC2=C(C=CS2)C(=O)N,,Inactive,Leishmania,Extracellular,,,,,,,,7.75,83.3 µM,411.461,,C16H17N3O6S2,,,,AID_1063,2527188,2527188
3519,COC1=CC=CC=C1NC(=O)N2CCCC2C(=O)NCC3=CC=CC=C3,,Inactive,Leishmania,Extracellular,,,,,,,,-0.32,83.3 µM,353.422,,C20H23N3O3,,,,AID_1063,644676,644676
3520,CCCN1C(=O)NN=C1SCC(=O)NCC2=CC=C(C=C2)C,,Inactive,Leishmania,Extracellular,,,,,,,,-7.23,83.3 µM,320.418,,C15H20N4O2S,,,,AID_1063,2576669,2576669
3521,CC1=C(C(=C(C(=N1)C)C(=O)OC)C2=CC(=C(C=C2)OC)OC)C(=O)OC,,Inactive,Leishmania,Extracellular,,,,,,,,-2.72,83.3 µM,359.378,,C19H21NO6,,,,AID_1063,632200,632200
3522,CC1CC2=C(O1)C=CC(=C2)/C(=C/3\C(N(C(=O)C3=O)CC4CCCO4)C5=CC=CO5)/O,,Inactive,Leishmania,Extracellular,,,,,,,,-9.72,83.3 µM,409.438,,C23H23NO6,,,,AID_1063,5771719,5771719
3523,CCN(CC)C1=CC=C(C=C1)C2NCC(O2)C3=CC=C(C=C3)[N+](=O)[O-],,Inactive,Leishmania,Extracellular,,,,,,,,-2.03,83.3 µM,341.411,,C19H23N3O3,,,,AID_1063,2802261,2802261
3524,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)C4=C[C@@H](C[C@@H](O4)OCC5=CC=C(C=C5)CO)C6=COC7=CC=CC=C7C6=O,,Inactive,Leishmania,Extracellular,,,,,,,,36.86,83.3 µM,610.663,,C35H34N2O8,,,,AID_1063,6669974,6669974
3525,CN(C)C1=NC(=NC(=N1)N2CCOCC2)OC3=NN(C(=O)C=C3)C4=CC=CC=C4,,Inactive,Leishmania,Extracellular,,,,,,,,-2.42,83.3 µM,395.423,,C19H21N7O3,,,,AID_1063,663613,663613
3526,CCC1=CC=C(C=C1)OCC(=O)NC2=CC=CC3=C2CCCC3,,Inactive,Leishmania,Extracellular,,,,,,,,-6.22,83.3 µM,309.409,,C20H23NO2,,,,AID_1063,1121482,1121482
3527,C1CCN(C1)C(=O)/C(=C\C2=CC=CO2)/NC(=O)C3=CC=CS3,,Inactive,Leishmania,Extracellular,,,,,,,,-3.36,83.3 µM,316.382,,C16H16N2O3S,,,,AID_1063,775618,775618
3528,CC1=CC=C(C=C1)CN2C3=CC=CC=C3N=C2S(=O)(=O)O,,Inactive,Leishmania,Extracellular,,,,,,,,-4.91,83.3 µM,302.355,,C15H14N2O3S,,,,AID_1063,3159971,3159971
3529,CNC(=S)N1CCC2=CC=CC=C2C1,,Inactive,Leishmania,Extracellular,,,,,,,,1.79,83.3 µM,206.314,,C11H14N2S,,,,AID_1063,2918564,2918564
3530,CC1=CC(=NO1)NC(=O)CSC2=NN3C(=NN=C3CCNC(=O)C4=CC=C(C=C4)OC)C=C2,,Inactive,Leishmania,Extracellular,,,,,,,,-3.8,83.3 µM,467.511,,C21H21N7O4S,,,,AID_1063,16194695,16194695
3531,C1CCC(=NNC(=O)CN2C3C(NC(=O)N3)NC2=O)C1,,Inactive,Leishmania,Extracellular,,,,,,,,-5.33,83.3 µM,280.288,,C11H16N6O3,,,,AID_1063,3964482,3964482
3532,C1CN(CCN1CCO)CC(=O)NC2=CC=CC=C2.Cl,,Inactive,Leishmania,Extracellular,,,,,,,,-8.96,83.3 µM,299.802,,C14H22ClN3O2,,,,AID_1063,9549102,9549102
3533,CC1=CC(=CC(=C1)NS(=O)(=O)C2=CC=C(C=C2)OC3=C(C=C(C=N3)C(F)(F)F)Cl)C,,Inactive,Leishmania,Extracellular,,,,,,,,3.81,83.3 µM,456.873,,C20H16ClF3N2O3S,,,,AID_1063,1471186,1471186
3534,CN(C)C1=CC=C(C=C1)C(=S)NCC2=CC=CO2,,Inactive,Leishmania,Extracellular,,,,,,,,4.37,83.3 µM,260.362,,C14H16N2OS,,,,AID_1063,1519926,1519926
3535,C1=CC=C2C(=C1)C=CC3=C2C(=CO3)CC(=O)NCC4=CC=CS4,,Inactive,Leishmania,Extracellular,,,,,,,,-5.71,83.3 µM,321.401,,C19H15NO2S,,,,AID_1063,2117229,2117229
3536,CC1=CC(=NC2=NN=C(N12)SCC3=NN=C(O3)C4=CC(=C(C(=C4)OC)OC)OC)C,,Inactive,Leishmania,Extracellular,,,,,,,,-2.64,83.3 µM,428.474,,C19H20N6O4S,,,,AID_1063,2082985,2082985
3537,C1CC2=CC=CC=C2/C(=N/NC(=O)COC3=CC=CC=C3F)/C1,,Inactive,Leishmania,Extracellular,,,,,,,,5.24,83.3 µM,312.344,,C18H17FN2O2,,,,AID_1063,9659393,9659393
3538,CC1=CC(=NO1)NC(=O)C2C3C(=O)N(C(C34C=CC2(O4)C)C(=O)NCC5=CC=CC=C5)CC6=CC=C(C=C6)Cl,,Inactive,Leishmania,Extracellular,,,,,,,,-4.81,83.3 µM,547.011,,C29H27ClN4O5,,,,AID_1063,3220154,3220154
3539,COC1=CC=C(C=C1)N(CC(=O)N/N=C/C2=CC=CS2)S(=O)(=O)C3=CC=CC=C3,,Inactive,Leishmania,Extracellular,,,,,,,,27.18,83.3 µM,429.523,,C20H19N3O4S2,,,,AID_1063,5334442,5334442
3540,CSC1=NN2C(=C(C=NC2=N1)C(=O)O)N,,Inactive,Leishmania,Extracellular,,,,,,,,-2.84,83.3 µM,225.233,,C7H7N5O2S,,,,AID_1063,2774833,2774833
3541,CCOC(=O)N1CCN(CC1)C(=O)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=C(ON=C3C)C,,Inactive,Leishmania,Extracellular,,,,,,,,-6.77,83.3 µM,464.544,,C21H28N4O6S,,,,AID_1063,3235694,3235694
3542,CCOC(=O)C1=C(N(C2=C1C=C(C=C2)OC(=O)C3=CC=C(C=C3)N4C(=O)CCC4=O)C)C,,Inactive,Leishmania,Extracellular,,,,,,,,30.51,83.3 µM,434.448,,C24H22N2O6,,,,AID_1063,1084360,1084360
3543,CC1=CC=C(C=C1)S(=O)(=O)NCC(=O)OCC(=O)C2=CC=C(C=C2)OC,,Inactive,Leishmania,Extracellular,,,,,,,,-7.13,83.3 µM,377.418,,C18H19NO6S,,,,AID_1063,2363440,2363440
3544,CC1=CC(=CC=C1)C(=O)NCC(=O)OCC(=O)N2CC3(CC2CC(C3)(C)C)C,,Inactive,Leishmania,Extracellular,,,,,,,,43.93,83.3 µM,386.492,,C22H30N2O4,,,,AID_1063,5080646,5080646
3545,C1=CC=C2C(=C1)N(C(=O)C=[N+]2[O-])OCC3=CC=CC=N3,,Inactive,Leishmania,Extracellular,,,,,,,,-4.08,83.3 µM,269.26,,C14H11N3O3,,,,AID_1063,976766,976766
3546,CC1=CC(=CC=C1)N2C3=NC(=NC(=C3NC2=O)C(=O)N)C4=CC=CC=C4OC,,Inactive,Leishmania,Extracellular,,,,,,,,39.77,83.3 µM,375.388,,C20H17N5O3,,,,AID_1063,3239826,3239826
3547,C1COCCN1C2=NN=C(N2C3=CC=CC=C3)C4=CC=NC=C4,,Inactive,Leishmania,Extracellular,,,,,,,,-4.37,83.3 µM,307.357,,C17H17N5O,,,,AID_1063,2324392,2324392
3548,COCCN1C(=NN=C1SCC#N)C2=CC=CC=C2,,Inactive,Leishmania,Extracellular,,,,,,,,-7.51,83.3 µM,274.349,,C13H14N4OS,,,,AID_1063,649871,649871
3549,CN(CC1=CC(=C(C=C1)OC(F)F)OC)CC2=CC(=O)N3C=CSC3=N2,,Inactive,Leishmania,Extracellular,,,,,,,,2.12,83.3 µM,381.404,,C17H17F2N3O3S,,,,AID_1063,2502748,2502748
3550,CC1=CC(=CC=C1)NC2=NC(=C(C(=N2)N3CCOCC3)[N+](=O)[O-])N,,Inactive,Leishmania,Extracellular,,,,,,,,-8.15,83.3 µM,330.348,,C15H18N6O3,,,,AID_1063,4207425,4207425
3551,COC1=CC(=C(C=C1)C2=C(C=NN2)C3=CSC=N3)O,,Inactive,Leishmania,Extracellular,,,,,,,,-0.2,83.3 µM,273.317,,C13H11N3O2S,,,,AID_1063,728350,728350
3552,CC1=CC(=NC=C1)NC(=O)C(CC2=CC=CC=C2)NS(=O)(=O)C3=CC4=C(C=C3)N(CC4)C(=O)C,,Inactive,Leishmania,Extracellular,,,,,,,,7.63,83.3 µM,478.574,,C25H26N4O4S,,,,AID_1063,9551144,9551144
3553,CCC1=CC=C(O1)CCC(=O)NC2=CC=C(C=C2)S(=O)(=O)N,,Inactive,Leishmania,Extracellular,,,,,,,,-8.38,83.3 µM,322.386,,C15H18N2O4S,,,,AID_1063,829894,829894
3554,COC1=CC=CC=C1N2CCN(CC2)C(=O)CSC3=CC=CC=C3,,Inactive,Leishmania,Extracellular,,,,,,,,2.74,83.3 µM,342.464,,C19H22N2O2S,,,,AID_1063,801394,801394
3555,COC(=O)C1=CC2=C(N1CC(=O)NCC3CCCO3)SC=C2,,Inactive,Leishmania,Extracellular,,,,,,,,-4.38,83.3 µM,322.386,,C15H18N2O4S,,,,AID_1063,3241457,3241457
3556,C1=CC(=CC(=C1)Br)NC(=O)NCCCl,,Inactive,Leishmania,Extracellular,,,,,,,,0.97,83.3 µM,277.549,,C9H10BrClN2O,,,,AID_1063,3089070,3089070
3557,C1=CC(=CC=C1/C=N\NC2=NC3=C(C(=O)NC(=O)N3)N=N2)O,,Inactive,Leishmania,Extracellular,,,,,,,,2.52,83.3 µM,299.25,,C12H9N7O3,,,,AID_1063,135438799,135438799
3558,CCN1C2=CC=CC=C2C(=C1OCC)/C=C(/C#N)\C(=O)OCC,,Inactive,Leishmania,Extracellular,,,,,,,,1.13,83.3 µM,312.369,,C18H20N2O3,,,,AID_1063,760039,760039
3559,CC1=CC=CC=C1C(=O)NC(CC(C)C)C(=O)NC2=CC(=C(C=C2)F)[N+](=O)[O-],,Inactive,Leishmania,Extracellular,,,,,,,,41.54,83.3 µM,387.411,,C20H22FN3O4,,,,AID_1063,4792992,4792992
3560,COC1=CC2=C(C=C1)N(C3=NC4=CC=CC=C4N=C23)CCN5C6=CC=CC=C6OC5=O,,Inactive,Leishmania,Extracellular,,,,,,,,9.51,83.3 µM,410.433,,C24H18N4O3,,,,AID_1063,1873012,1873012
3561,CC1=CC=C(C=C1)S(=O)(=O)C2=CN(C3=CC4=C(C=C3C2=O)OCO4)CC5=CC=C(C=C5)F,,Inactive,Leishmania,Extracellular,,,,,,,,12.91,83.3 µM,451.475,,C24H18FNO5S,,,,AID_1063,2141277,2141277
3562,CC(=O)N1CCOCCN(CCOCCOCC1)C(=O)C,,Inactive,Leishmania,Extracellular,,,,,,,,0.65,83.3 µM,302.371,,C14H26N2O5,,,,AID_1063,3090865,3090865
3563,COC1=CC=CC=C1CNC(=O)COC(=O)CC2=C(C=CC=C2Cl)F,,Inactive,Leishmania,Extracellular,,,,,,,,1.53,83.3 µM,365.788,,C18H17ClFNO4,,,,AID_1063,2120010,2120010
3564,C1OC2=C(O1)C=C(C=C2)/C=C(\C(=O)NCCO)/NC(=O)C3=CC=C(C=C3)Br,,Inactive,Leishmania,Extracellular,,,,,,,,46.24,83.3 µM,433.258,,C19H17BrN2O5,,,,AID_1063,1917734,1917734
3565,CC1=CC(=NC(=N1)NC2=NNC(=N2)COC3=CC=CC=C3)C,,Inactive,Leishmania,Extracellular,,,,,,,,-8.13,83.3 µM,296.334,,C15H16N6O,,,,AID_1063,935375,935375
3566,C1CN(CCN1C(=O)COC2=CC=C(C=C2)C3=NN=CO3)S(=O)(=O)C4=CC5=CC=CC=C5C=C4,,Inactive,Leishmania,Extracellular,,,,,,,,-5.01,83.3 µM,478.53,,C24H22N4O5S,,,,AID_1063,2108611,2108611
3567,CCC1=C(N=C2C=C3C(=CC2=C1)OCCO3)SCC(=O)OC(C)C,,Inactive,Leishmania,Extracellular,,,,,,,,-2.32,83.3 µM,347.436,,C18H21NO4S,,,,AID_1063,3208318,3208318
3568,CCN(CC(=O)NCC1=CC=C(C=C1)F)C(=O)/C=C/C2=CC=CO2,,Inactive,Leishmania,Extracellular,,,,,,,,3.25,83.3 µM,330.359,,C18H19FN2O3,,,,AID_1063,2579466,2579466
3569,CC1=C(SC2=C1C(=O)N(C(=N2)SCC=C)CC=C)C,,Inactive,Leishmania,Extracellular,,,,,,,,0.11,83.3 µM,292.429,,C14H16N2OS2,,,,AID_1063,3122912,3122912
3570,CC1=CC2=C(C=C1)C(=CC(=O)O2)CSC3=NN=C(N3N)C4CC4,,Inactive,Leishmania,Extracellular,,,,,,,,14.47,83.3 µM,328.397,,C16H16N4O2S,,,,AID_1063,2601751,2601751
3571,CC1=C(C=C(C=C1)NC(=O)C2=C(N=C(S2)Cl)C3=CC=CC=C3)C,,Inactive,Leishmania,Extracellular,,,,,,,,-2.13,83.3 µM,342.851,,C18H15ClN2OS,,,,AID_1063,850692,850692
3572,CN1C=C(C(=O)N(C1=O)C)S(=O)(=O)NCC2=CC=CO2,,Inactive,Leishmania,Extracellular,,,,,,,,-2.45,83.3 µM,299.308,,C11H13N3O5S,,,,AID_1063,5310057,5310057
3573,C=CCSC1=NC(=C(C=C1C#N)C(=O)NC2=CC=CC=C2)N,,Inactive,Leishmania,Extracellular,,,,,,,,9.96,83.3 µM,310.382,,C16H14N4OS,,,,AID_1063,2197499,2197499
3574,CCOC(=O)C1=C(N(C(=S)S1)C2=CC(=C(C=C2)F)F)N,,Inactive,Leishmania,Extracellular,,,,,,,,36.53,83.3 µM,316.354,,C12H10F2N2O2S2,,,,AID_1063,3240779,3240779
3575,CC1=NN(C(=C1)NC(=O)CSC2=C(C=CC(=C2)Cl)Cl)C3=CC=CC=C3,,Inactive,Leishmania,Extracellular,,,,,,,,8.48,83.3 µM,392.311,,C18H15Cl2N3OS,,,,AID_1063,2567565,2567565
3576,CC1=NC2=CC=CC=C2C(=O)N1C3=CC=CC=C3[N+](=O)[O-],,Inactive,Leishmania,Extracellular,,,,,,,,4.03,83.3 µM,281.271,,C15H11N3O3,,,,AID_1063,63364,63364
3577,COC1=CC=C(C=C1)NC2=NC(=NC(=N2)NCC3=CC=CO3)N/N=C/C4=CC=CC=C4Cl,,Inactive,Leishmania,Extracellular,,,,,,,,9.55,83.3 µM,449.902,,C22H20ClN7O2,,,,AID_1063,5334706,5334706
3578,C1CCC2(CC1)C(=NC3=CC=C(C=C3)Cl)N=C(N2C4=CC=CC(=C4)C(=O)O)SCC(=O)O,,Inactive,Leishmania,Extracellular,,,,,,,,45.53,83.3 µM,471.966,,C23H22ClN3O4S,,,,AID_1063,1818119,1818119
3579,COC1=CC=C(C=C1)CN(C2=CC=CC=C2C(=O)O)C(=O)CO/N=C/C3=CC=CC=C3,,Inactive,Leishmania,Extracellular,,,,,,,,-4.04,83.3 µM,418.449,,C24H22N2O5,,,,AID_1063,6899248,6899248
3580,CC1=CC2=C(C=C1)NC3=C2N=CN(C3=O)CCCN4CCOCC4,,Inactive,Leishmania,Extracellular,,,,,,,,-2.28,83.3 µM,326.4,,C18H22N4O2,,,,AID_1063,658903,658903
3581,COC1=CC=CC=C1N2CCN(CC2)S(=O)(=O)/C=C/C3=CC=CC=C3,,Inactive,Leishmania,Extracellular,,,,,,,,3.37,83.3 µM,358.463,,C19H22N2O3S,,,,AID_1063,1417541,1417541
3582,CN1C2=CC=CC=C2C(=C1O)C(=C3N=C4C=CC=CC4=N3)C#N,,Inactive,Leishmania,Extracellular,,,,,,,,-2.53,83.3 µM,300.321,,C18H12N4O,,,,AID_1063,135421104,135421104
3583,CC1(C(OC(=O)C(C1=O)(C)C)/C=C\C2=CC(=CC=C2)[N+](=O)[O-])C,,Inactive,Leishmania,Extracellular,,,,,,,,0.79,83.3 µM,317.341,,C17H19NO5,,,,AID_1063,5738567,5738567
3584,COC1=C(C=C(C=C1)CC2=NOC(=N2)CN3CCC(CC3)C4=CC=NC=C4)OC,,Inactive,Leishmania,Extracellular,,,,,,,,11.91,83.3 µM,394.475,,C22H26N4O3,,,,AID_1063,16188654,16188654
3585,CN1C2=C(N=C1OC3=CC4=C(C=C3)OCO4)N(C(=O)N(C2=O)CC5=CC=CC=C5)C,,Inactive,Leishmania,Extracellular,,,,,,,,-1.47,83.3 µM,406.398,,C21H18N4O5,,,,AID_1063,3707719,3707719
3586,CC1(CC(CCO1)N(CC2=CC=CS2)C(=O)C3=CC=CO3)C,,Inactive,Leishmania,Extracellular,,,,,,,,3.1,83.3 µM,319.426,,C17H21NO3S,,,,AID_1063,2965347,2965347
3587,C1CCC2=NN=C(N2CC1)C(CC3=CNC4=CC=CC=C43)NC(=O)C5=CC=C(C=C5)Cl,,Inactive,Leishmania,Extracellular,,,,,,,,-4.51,83.3 µM,433.943,,C24H24ClN5O,,,,AID_1063,4249305,4249305
3588,CC1=CC2=C(C=C1S(=O)(=O)NC3=C(C(=CC=C3)F)C)NC(=O)CO2,,Inactive,Leishmania,Extracellular,,,,,,,,2.2,83.3 µM,350.371,,C16H15FN2O4S,,,,AID_1063,5295636,5295636
3589,COC1=CC=CC(=C1)/C=C/C(=O)OCC(=O)NCC2=CC=CO2,,Inactive,Leishmania,Extracellular,,,,,,,,-3.75,83.3 µM,315.325,,C17H17NO5,,,,AID_1063,2346338,2346338
3590,C1CCN(C1)C(=O)C2CCN(CC2)S(=O)(=O)C3=CC=CC4=C3N=CC=C4,,Inactive,Leishmania,Extracellular,,,,,,,,-6.73,83.3 µM,373.478,,C19H23N3O3S,,,,AID_1063,5307149,5307149
3591,CC1=C(C2=C(N1C3=CC=CC=C3)C(=O)N(C=N2)CC#N)C#N,,Inactive,Leishmania,Extracellular,,,,,,,,-2.87,83.3 µM,289.298,,C16H11N5O,,,,AID_1063,948293,948293
3592,CN1C(=C(C=N1)Cl)C(=O)NC2=CC(=CC=C2)Cl,,Inactive,Leishmania,Extracellular,,,,,,,,3.34,83.3 µM,270.119,,C11H9Cl2N3O,,,,AID_1063,903329,903329
3593,COC1=C2C=C(C(=O)NC2=C(C=C1)OC)CCNC(=O)C3CCCCC3,,Inactive,Leishmania,Extracellular,,,,,,,,6.22,83.3 µM,358.438,,C20H26N2O4,,,,AID_1063,3238850,3238850
3594,C1CN(C(=N1)SCC2=CN=CC=C2)C(=O)C3=CC=CC=C3F,,Inactive,Leishmania,Extracellular,,,,,,,,-3.1,83.3 µM,315.373,,C16H14FN3OS,,,,AID_1063,5199976,5199976
3595,CC1C(=O)N(C2=C(O1)C=CC(=C2)C)CC3=CC4=C(C=C3)OCO4,,Inactive,Leishmania,Extracellular,,,,,,,,1.83,83.3 µM,311.337,,C18H17NO4,,,,AID_1063,647374,647374
3596,COC1=CC=C(C=C1)/C=C(/C(=O)NC(CCSC)C(=O)O)\NC(=O)C2=CC=C(C=C2)OC,,Inactive,Leishmania,Extracellular,,,,,,,,-3.22,83.3 µM,458.536,,C23H26N2O6S,,,,AID_1063,6013730,6013730
3597,CN(C)S(=O)(=O)N(CC(=O)NCCSCC1=CC=CC=C1)C2=CC=CC=C2,,Inactive,Leishmania,Extracellular,,,,,,,,1.25,83.3 µM,407.561,,C19H25N3O3S2,,,,AID_1063,2223138,2223138
3598,COC1=CC=CC(=C1)N2C(=O)C3=CC=CC=C3N=C2SCC4=CC=C(O4)C(=O)OC,,Inactive,Leishmania,Extracellular,,,,,,,,46.8,83.3 µM,422.462,,C22H18N2O5S,,,,AID_1063,2595628,2595628
3599,CCC1=CC=C(O1)CCC(=O)NC2=CC(=C(C=C2)C)C,,Inactive,Leishmania,Extracellular,,,,,,,,-5.6,83.3 µM,271.36,,C17H21NO2,,,,AID_1063,938834,938834
3600,CC1=CC=C(C=C1)CN2CCN(CC2CCO)CC3=CC(=C(C=C3)O)OC,,Inactive,Leishmania,Extracellular,,,,,,,,5.38,83.3 µM,370.493,,C22H30N2O3,,,,AID_1063,16191971,16191971
3601,CC(CC1=CC=CS1)NC(=S)NC2=CC=C(C=C2)OC,,Inactive,Leishmania,Extracellular,,,,,,,,2.05,83.3 µM,306.456,,C15H18N2OS2,,,,AID_1063,4567653,4567653
3602,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N2CCOCC2,,Inactive,Leishmania,Extracellular,,,,,,,,-2.57,83.3 µM,284.337,,C12H16N2O4S,,,,AID_1063,88976,88976
3603,C1=CC=C2C(=C1)C(=NC=N2)NCC3=CC=CO3.Cl,,Inactive,Leishmania,Extracellular,,,,,,,,32.34,83.3 µM,261.712,,C13H12ClN3O,,,,AID_1063,2789307,2789307
3604,CC(C1=CC=NN1)OC2=CC=CC=C2,,Inactive,Leishmania,Extracellular,,,,,,,,-3.87,83.3 µM,188.23,,C11H12N2O,,,,AID_1063,4364910,4364910
3605,C1CN(CCN1CC2=CC=CC=C2)C(=O)C34CC5CC(C3)CC(C5)C4.Cl,,Inactive,Leishmania,Extracellular,,,,,,,,-0.96,83.3 µM,374.956,,C22H31ClN2O,,,,AID_1063,6602896,6602896
3606,CC1=CC=C(C=C1)CCNC(=O)C2CC(=O)N(C2)CC3=CC=C(C=C3)OC,,Inactive,Leishmania,Extracellular,,,,,,,,-0.37,83.3 µM,366.461,,C22H26N2O3,,,,AID_1063,4229957,4229957
